,course_title,course_organization,course_rating,course_difficulty,course_students_enrolled
44,Career Success,"University of California, Irvine",4.4,Beginner,790k
736,Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,4.8,Beginner,31k
718,Chemicals and Health,Johns Hopkins University,4.7,Beginner,23k
726,Chicken Behaviour and Welfare,The University of Edinburgh,4.7,Mixed,19k
161,Child Nutrition and Cooking,Stanford University,4.7,Beginner,30k
737,Chinese for HSK 1,Peking University,4.8,Beginner,22k
95,Cisco Networking Basics,Cisco,4.7,Beginner,57k
848,Classical Sociological Theory,University of Amsterdam,4.8,Mixed,51k
197,Claves de la Dirección de Empresas,IESE Business School,4.8,Beginner,51k
457,Climate Change and Health: From Science to Action,Yale University,4.6,Beginner,4.8k
275,Clinical Terminology for International and U.S. Students,University of Pittsburgh,4.8,Beginner,32k
349,Cloud Computing,University of Illinois at Urbana-Champaign,4.4,Intermediate,110k
777,Cloud Computing Basics (Cloud 101),LearnQuest,4.5,Beginner,37k
9,Cloud Engineering with Google Cloud,Google Cloud,4.7,Intermediate,310k
276,Coaching Skills for Managers,"University of California, Davis",4.7,Intermediate,37k
655,Code Yourself! An Introduction to Programming,The University of Edinburgh,4.7,Beginner,120k
709,Communication Skills for Engineers,Rice University,4.7,Beginner,15k
305,Communication Strategies for a Virtual Age,University of Toronto,4.8,Beginner,43k
890,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,4.9,Beginner,6.4k
406,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,4.7,Beginner,43k
474,Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),4.7,Intermediate,350k
391,Computational Social Science,"University of California, Davis",4.6,Beginner,5.8k
221,Computational Thinking for Problem Solving,University of Pennsylvania,4.8,Beginner,33k
621,Computer Security and Systems Management,University of Colorado System,4.6,Beginner,27k
439,Conflict Management,"University of California, Irvine",4.3,Beginner,66k
728,Construction Cost Estimating and Cost Control,Columbia University,4.7,Beginner,19k
48,Construction Management,Columbia University,4.7,Beginner,61k
290,Construction Project Management,Columbia University,4.8,Beginner,43k
794,Construction Scheduling,Columbia University,4.8,Beginner,15k
300,Contabilidad para no contadores,Universidad Nacional Autónoma de México,4.7,Beginner,220k
273,Content Strategy for Professionals,Northwestern University,4.5,Beginner,27k
448,Continuous Delivery & DevOps,University of Virginia,4.6,Beginner,26k
815,Control of Mobile Robots,Georgia Institute of Technology,4.8,Mixed,49k
207,Convolutional Neural Networks,deeplearning.ai,4.9,Intermediate,240k
358,Convolutional Neural Networks in TensorFlow,deeplearning.ai,4.7,Intermediate,46k
725,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,4.8,Intermediate,10k
458,Corporate Finance Essentials,IESE Business School,4.8,Mixed,56k
714,Corporate Strategy,UCL School of Management,4.8,Beginner,7.8k
301,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,4.6,Mixed,10k
691,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,4.6,Beginner,75k
854,Cost and Economics in Pricing Strategy,University of Virginia,4.8,Beginner,15k
544,Costos para los Negocios,Universidad de Chile,4.8,Intermediate,43k
179,Crash Course on Python,Google,4.8,Beginner,81k
463,Creative Problem Solving,University of Minnesota,4.3,Mixed,140k
59,Creative Writing,Wesleyan University,4.6,Beginner,140k
371,Creative Writing: The Craft of Plot,Wesleyan University,4.7,Mixed,120k
793,"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,4.7,Beginner,150k
678,Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,4.8,Intermediate,26k
730,Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,4.8,Intermediate,22k
248,Culture-Driven Team Building,University of Pennsylvania,4.6,Beginner,17k
820,Curanderismo: Traditional Healing Using Plants,University of New Mexico,4.6,Beginner,5.5k
566,Customer Segmentation and Prospecting,Northwestern University,4.7,Beginner,18k
372,Cybersecurity,"University of Maryland, College Park",4.5,Intermediate,99k
821,Cybersecurity and Its Ten Domains,University System of Georgia,4.2,Beginner,140k
497,Cybersecurity for Business,University of Colorado System,4.6,Beginner,23k
800,Cómo hablar bien en público,Universitat Autònoma de Barcelona,4.8,Beginner,55k
764,Dairy Production and Management,The Pennsylvania State University,4.8,Mixed,23k
812,Data Analysis and Interpretation,Wesleyan University,4.4,Beginner,100k
39,Data Analysis and Presentation Skills: the PwC Approach,PwC,4.6,Beginner,220k
277,Data Analysis with Python,IBM,4.7,Beginner,110k
605,Data Analytics for Lean Six Sigma,University of Amsterdam,4.8,Beginner,24k
783,Data Collection and Processing with Python,University of Michigan,4.7,Intermediate,19k
679,Data Engineering on Google Cloud Platform 日本語版,Google Cloud,4.4,Intermediate,3k
22,Data Engineering with Google Cloud,Google Cloud,4.6,Intermediate,120k
24,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,4.6,Intermediate,120k
383,Data Management for Clinical Research,Vanderbilt University,4.7,Beginner,42k
434,Data Mining,University of Illinois at Urbana-Champaign,4.4,Intermediate,140k
13,Data Science,Johns Hopkins University,4.5,Beginner,830k
399,Data Science Math Skills,Duke University,4.5,Beginner,140k
198,Data Science Methodology,IBM,4.6,Beginner,89k
15,Data Science: Foundations using R,Johns Hopkins University,4.6,Beginner,740k
148,Data Science: Statistics and Machine Learning,Johns Hopkins University,4.4,Intermediate,210k
686,Data Visualization and Communication with Tableau,Duke University,4.7,Mixed,130k
804,Data Visualization with Advanced Excel,PwC,4.8,Beginner,60k
420,Data Visualization with Python,IBM,4.6,Intermediate,66k
70,Data Visualization with Tableau,"University of California, Davis",4.5,Beginner,96k
288,Data Warehousing for Business Intelligence,University of Colorado System,4.5,Advanced,140k
871,Data and Health Indicators in Public Health Practice,Johns Hopkins University,4.7,Beginner,18k
376,Data-driven Decision Making,PwC,4.6,Beginner,120k
263,Databases and SQL for Data Science,IBM,4.7,Beginner,110k
519,De-Mystifying Mindfulness,Universiteit Leiden,4.8,Beginner,150k
813,Decision-Making and Scenarios,University of Pennsylvania,4.6,Mixed,31k
5,Deep Learning,deeplearning.ai,4.8,Intermediate,690k
599,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,4.8,Beginner,44k
806,Dentistry 101,University of Michigan,4.7,Beginner,4.5k
627,Dermatology: Trip to skin,Novosibirsk State University ,4.4,Beginner,8.2k
100,Design Thinking for Innovation,University of Virginia,4.6,Beginner,240k
674,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,4.6,Beginner,17k
139,Design and Interpretation of Clinical Trials,Johns Hopkins University,4.7,Mixed,67k
522,Design and Make Infographics (Project-Centered Course),Michigan State University,4.7,Mixed,97k
430,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,4.6,Intermediate,19k
338,Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,4.6,Intermediate,16k
18,Developing Applications with Google Cloud Platform,Google Cloud,4.7,Intermediate,300k
644,Developing Applications with Google Cloud Platform 日本語版,Google Cloud,4.8,Intermediate,4k
720,Developing Industrial Internet of Things,University of Colorado Boulder,4.6,Intermediate,8k
756,Developing Your Musicianship,Berklee College of Music,4.8,Mixed,41k
205,Developing Your Musicianship,Berklee College of Music,4.8,Beginner,54k
397,Devenir entrepreneur du changement,Ticket for Change,4.7,Mixed,54k
239,Digital Advertising Strategy,University of Colorado Boulder,4.4,Beginner,9k
855,Digital Business Models,Lund University,4.5,Beginner,21k
237,Digital Manufacturing & Design Technology,University at Buffalo,4.6,Beginner,37k
28,Digital Marketing,University of Illinois at Urbana-Champaign,4.6,Beginner,380k
852,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,4.4,Mixed,57k
53,Digital Product Management,University of Virginia,4.7,Beginner,140k
381,Digital Product Management: Modern Fundamentals,University of Virginia,4.7,Beginner,58k
490,Dino 101: Dinosaur Paleobiology,University of Alberta,4.5,Beginner,35k
697,Discrete Optimization,The University of Melbourne,4.9,Intermediate,40k
675,Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,4.6,Beginner,4k
711,Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,4.9,Beginner,21k
378,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,4.8,Intermediate,130k
392,Dog Emotion and Cognition,Duke University,4.6,Mixed,150k
624,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,4.8,Beginner,5.6k
487,Drug Commercialization,University of California San Diego,4.7,Beginner,17k
342,Drug Discovery,University of California San Diego,4.6,Beginner,39k
166,Dynamic Public Speaking,University of Washington,4.7,Beginner,110k
832,EMT Foundations,University of Colorado System,4.8,Beginner,7.1k
494,Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,4.8,Intermediate,18k
641,Econometrics: Methods and Applications,Erasmus University Rotterdam,4.7,Mixed,110k
229,Economics of Money and Banking,Columbia University,4.9,Mixed,83k
707,Ecosystem Services: a Method for Sustainable Development,University of Geneva,4.7,Intermediate,16k
773,Effective Compliance Programs,University of Pennsylvania,4.9,Mixed,3.4k
636,Egiptología (Egyptology),Universitat Autònoma de Barcelona,4.9,Beginner,46k
789,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,5,Beginner,1.5k
564,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,4.7,Intermediate,57k
870,Electric Industry Operations and Markets,Duke University,4.8,Beginner,12k
122,Electronic Music Production,Berklee College of Music,4.8,Intermediate,110k
733,Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,4.6,Beginner,17k
267,"Energy Production, Distribution & Safety",University at Buffalo,4.7,Beginner,37k
461,Engineering Health: Introduction to Yoga and Physiology,New York University,4.8,Beginner,14k
560,Engineering Project Management: Initiating and Planning,Rice University,4.7,Beginner,23k
613,English Composition I,Duke University,4.6,Beginner,200k
225,English for Business and Entrepreneurship,University of Pennsylvania,4.8,Beginner,230k
175,English for Career Development,University of Pennsylvania,4.8,Mixed,760k
303,English for Journalism,University of Pennsylvania,4.8,Mixed,130k
547,English for Research Publication Purposes,Moscow Institute of Physics and Technology,4.6,Intermediate,42k
598,"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,4.8,Beginner,110k
770,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,4.4,Beginner,2.4k
292,Entrepreneurial Finance: Strategy and Innovation,Duke University,4.5,Intermediate,7.9k
33,Entrepreneurship,University of Pennsylvania,4.8,Beginner,110k
246,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,4.8,Mixed,86k
496,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,4.8,Mixed,38k
704,Entrepreneurship 3: Growth Strategies,University of Pennsylvania,4.7,Beginner,31k
623,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,4.8,Beginner,20k
502,Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",4.6,Beginner,69k
527,Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,4.8,Mixed,45k
570,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,4.7,Mixed,23k
426,Epidemiology for Public Health,Imperial College London,4.7,Beginner,6.4k
60,Epidemiology in Public Health Practice,Johns Hopkins University,4.7,Beginner,31k
351,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,4.6,Mixed,130k
708,Epigenetic Control of Gene Expression,The University of Melbourne,4.8,Mixed,35k
444,Equine Welfare and Management,"University of California, Davis",4.8,Beginner,7.2k
693,Esports,"University of California, Irvine",4.5,Beginner,1.8k
454,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,4.7,Beginner,14k
446,Essential Google Cloud Infrastructure: Core Services,Google Cloud,4.7,Intermediate,68k
347,Essential Google Cloud Infrastructure: Foundation,Google Cloud,4.7,Intermediate,83k
314,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,4.8,Intermediate,4.1k
436,Essentials of Corporate Finance,The University of Melbourne,4.6,Intermediate,54k
319,Essentials of Global Health,Yale University,4.8,Mixed,31k
847,Estadística y probabilidad,Universidad Nacional Autónoma de México,4.7,Beginner,27k
881,Evaluación educativa,Universidad Nacional Autónoma de México,4.8,Beginner,13k
256,"Everyday Excel, Part 1",University of Colorado Boulder,4.8,Beginner,11k
278,Everyday Parenting: The ABCs of Child Rearing,Yale University,4.9,Beginner,86k
11,Excel Skills for Business,Macquarie University,4.9,Beginner,240k
591,Excel Skills for Business: Advanced,Macquarie University,4.7,Intermediate,39k
92,Excel Skills for Business: Essentials,Macquarie University,4.9,Beginner,200k
218,Excel Skills for Business: Intermediate I,Macquarie University,4.9,Intermediate,76k
419,Excel Skills for Business: Intermediate II,Macquarie University,4.8,Intermediate,39k
38,Excel to MySQL: Analytic Techniques for Business,Duke University,4.6,Beginner,490k
124,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,4.8,Beginner,56k
418,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,4.8,Beginner,54k
137,Executive Data Science,Johns Hopkins University,4.5,Beginner,170k
880,Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,4.8,Beginner,28k
99,Fashion as Design,The Museum of Modern Art,4.8,Beginner,180k
509,Feminism and Social Justice,"University of California, Santa Cruz",4.8,Beginner,18k
442,FinTech Law and Policy,Duke University,4.8,Beginner,9.7k
531,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,4.6,Beginner,13k
453,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,4.7,Beginner,12k
16,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,4.5,Beginner,260k
257,Finance for Non-Finance Professionals,Rice University,4.8,Beginner,69k
778,Finance for Non-Financial Managers,Emory University,4.4,Intermediate,12k
85,Financial Accounting Fundamentals,University of Virginia,4.8,Beginner,65k
396,Financial Acumen for Non-Financial Managers,University of Pennsylvania,4.5,Beginner,10k
158,Financial Engineering and Risk Management Part I,Columbia University,4.6,Mixed,100k
149,Financial Management,University of Illinois at Urbana-Champaign,4.7,Intermediate,76k
14,Financial Markets,Yale University,4.8,Beginner,470k
259,Financial Markets and Investment Strategy,Indian School of Business,4.5,Beginner,60k
682,Financial Reporting,University of Illinois at Urbana-Champaign,4.8,Intermediate,12k
356,Financial Technology (Fintech) Innovations,University of Michigan,4.7,Beginner,6.5k
382,Financing and Investing in Infrastructure,Università Bocconi,4.8,Mixed,24k
366,Finanzas corporativas,Universidad Nacional Autónoma de México,4.6,Intermediate,30k
552,Finanzas personales,Universidad Nacional Autónoma de México,4.8,Mixed,310k
109,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,4.7,Beginner,36k
66,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,4.6,Beginner,20k
113,First Step Korean,Yonsei University,4.9,Beginner,400k
102,Food & Beverage Management,Università Bocconi,4.8,Mixed,57k
174,Forensic Accounting and Fraud Examination,West Virginia University,4.7,Mixed,42k
851,Formulación y evaluación de proyectos complejos,Universidad de los Andes,4.9,Intermediate,4.4k
337,Foundational Finance for Strategic Decision Making,University of Michigan,4.8,Beginner,14k
721,Foundations of Business Strategy,University of Virginia,4.8,Beginner,63k
775,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,4.8,Mixed,62k
313,Foundations of Global Health,Johns Hopkins University,4.7,Beginner,31k
209,Foundations of Management,IESE Business School,4.8,Beginner,64k
569,Foundations of Marketing Analytics,Emory University,4.2,Intermediate,27k
32,Foundations of Positive Psychology,University of Pennsylvania,4.8,Beginner,89k
521,Foundations of Public Health Practice,Imperial College London,4.8,Beginner,3.2k
203,From Data to Insights with Google Cloud Platform,Google Cloud,4.6,Beginner,26k
698,From the Big Bang to Dark Energy,The University of Tokyo,4.8,Beginner,52k
863,Front-End Web Development with React,The Hong Kong University of Science and Technology,4.7,Intermediate,45k
501,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,4.8,Intermediate,89k
108,Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,4.7,Intermediate,150k
89,Full-Stack Web Development with React,The Hong Kong University of Science and Technology,4.7,Intermediate,140k
790,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,4.8,Intermediate,170k
150,Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,4.7,Intermediate,220k
441,Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,4.6,Beginner,30k
295,Fundamentals of Accounting,University of Illinois at Urbana-Champaign,4.6,Beginner,39k
164,Fundamentals of Computing,Rice University,4.8,Beginner,200k
581,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,4.7,Mixed,49k
425,Fundamentals of GIS,"University of California, Davis",4.8,Beginner,86k
162,Fundamentals of Graphic Design,California Institute of the Arts,4.8,Beginner,290k
130,Fundamentals of Immunology,Rice University,4.7,Intermediate,20k
415,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,4.7,Intermediate,18k
633,Fundamentals of Music Theory,The University of Edinburgh,4.6,Beginner,180k
77,Fundamentals of Project Planning and Management,University of Virginia,4.7,Beginner,120k
165,Fundamentals of Quantitative Modeling,University of Pennsylvania,4.6,Mixed,110k
475,Fundamentals of Reinforcement Learning,University of Alberta,4.8,Intermediate,22k
520,Fundamentals of Visualization with Tableau,"University of California, Davis",4.5,Beginner,81k
742,Fundamentos Empresariales,University of Pennsylvania,4.6,Beginner,25k
857,Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,4.6,Beginner,56k
